Skill,Length,UpPercent,Slope,1,2,3,4
Ok,13,-2,Low,20,86,143,190
Ok,13,-2,Medium,19,83,137,182
Ok,13,-2,High,18,80,132,175
Ok,13,0,Low,21,90,150,200
Ok,13,0,Medium,20,86,144,192
Ok,13,0,High,19,83,138,184
Ok,13,2,Low,22,93,155,206
Ok,13,2,Medium,21,89,149,198
Ok,13,2,High,20,85,143,190
Ok,13,5,Low,23,96,160,212
Ok,13,5,Medium,22,92,154,204
Ok,13,5,High,21,88,148,196
Ok,13,10,Low,24,99,165,218
Ok,13,10,Medium,23,95,158,209
Ok,13,10,High,22,91,152,201
Ok,15,-10,Low,15,75,129,172
Ok,15,-10,Medium,14,72,124,165
Ok,15,-10,High,13,69,119,158
Ok,15,-5,Low,16,79,136,181
Ok,15,-5,Medium,15,76,131,174
Ok,15,-5,High,14,73,126,167
Ok,15,-2,Low,17,83,143,190
Ok,15,-2,Medium,16,80,137,182
Ok,15,-2,High,15,77,132,175
Ok,15,0,Low,18,87,150,200
Ok,15,0,Medium,17,84,144,192
Ok,15,0,High,16,81,138,184
Ok,15,2,Low,19,90,155,206
Ok,15,2,Medium,18,86,149,198
Ok,15,2,High,17,83,143,190
Ok,15,5,Low,20,93,160,212
Ok,15,5,Medium,19,89,154,204
Ok,15,5,High,18,85,148,196
Ok,15,10,Low,21,96,165,218
Ok,15,10,Medium,20,92,158,209
Ok,15,10,High,19,88,152,201
Ok,20,-10,Low,13,72,129,172
Ok,20,-10,Medium,12,69,124,165
Ok,20,-10,High,12,66,119,158
Ok,20,-5,Low,14,76,136,181
Ok,20,-5,Medium,13,73,131,174
Ok,20,-5,High,12,70,126,167
Ok,20,-2,Low,15,80,143,190
Ok,20,-2,Medium,14,77,137,182
Ok,20,-2,High,13,74,132,175
Ok,20,0,Low,16,84,150,200
Ok,20,0,Medium,15,81,144,192
Ok,20,0,High,14,78,138,184
Ok,20,2,Low,16,87,155,206
Ok,20,2,Medium,15,84,149,198
